,cluster,city,year,hotspots_cuts_1_dest,flow_hierarchy_dest,mean_mob_div,% of areas,Fraction of areas
43,C2,Los Angeles,2015,0.9881756756756755,0.6235013731910847,0.8812518729808501,0.011824324324324453,0.011824324324324453
44,C1,Long Beach,2015,0.918032786885246,0.8990252436890779,0.8528250025449936,0.08196721311475397,0.08196721311475397
45,C2,San Francisco,2015,0.9726027397260274,0.6238439452307779,0.8039655529186068,0.0273972602739726,0.0273972602739726
46,C1,Oakland,2015,0.8983050847457628,0.8561607615018508,0.867564047386374,0.10169491525423724,0.10169491525423724
47,C1,Sacramento,2015,0.9516129032258064,0.7780492388648751,0.8377144314128679,0.048387096774193616,0.048387096774193616
48,C1,San Jose,2015,0.8811881188118812,0.8392193308550187,0.8499035985105274,0.1188118811881188,0.1188118811881188
49,C2,Seattle,2015,0.9452054794520548,0.6068872987477638,0.8141732344018405,0.0547945205479452,0.0547945205479452
0,C2,San Antonio,2016,0.9603960396039604,0.5358508877090826,0.8603040607443744,0.03960396039603964,0.03960396039603964
1,C2,Austin,2016,0.9508196721311476,0.7052850219247634,0.8374834541790797,0.0491803278688524,0.0491803278688524
2,C2,Houston,2016,0.986784140969163,0.5840017173077299,0.82656108902394,0.013215859030836996,0.013215859030836996
3,C2,Corpus Christi,2016,0.9285714285714286,0.7672274923930554,0.8797706650624262,0.0714285714285714,0.0714285714285714
4,C2,New Orleans,2016,0.9065420560747663,0.6480072230104478,0.7390443065399176,0.09345794392523366,0.09345794392523366
5,C2,Jacksonville,2016,0.9537037037037036,0.6654080810406355,0.8493858662046777,0.04629629629629639,0.04629629629629639
6,C2,Tampa,2016,0.9682539682539684,0.6249499131828503,0.8055211266743716,0.03174603174603163,0.03174603174603163
7,C1,Miami,2016,0.9113924050632912,0.8063921327596805,0.8587107000879779,0.08860759493670878,0.08860759493670878
8,C2,Boston,2016,0.9065420560747663,0.6432193101478254,0.7846662670988223,0.09345794392523366,0.09345794392523366
9,C1,Newark,2016,0.8823529411764706,0.8120805369127515,0.7994270851752476,0.11764705882352944,0.11764705882352944
10,C2,New York,2016,0.9777034559643256,0.5373276598340654,0.8431657674669605,0.02229654403567438,0.02229654403567438
11,C2,Philadelphia,2016,0.9585253456221198,0.5686662606577345,0.8325932880270127,0.04147465437788023,0.04147465437788023
12,C1,Virginia Beach,2016,0.8135593220338984,0.7732755371277797,0.8357897535122402,0.18644067796610164,0.18644067796610164
13,C2,Greensboro,2016,0.9230769230769232,0.7418825246260488,0.8820015902982378,0.07692307692307676,0.07692307692307676
14,C1,Raleigh,2016,0.8965517241379308,0.7359879670677645,0.8579307781424684,0.10344827586206917,0.10344827586206917
15,C1,Charlotte,2016,0.8859649122807017,0.6537745508703341,0.8440963202676784,0.11403508771929827,0.11403508771929827
16,C2,Columbus,2016,0.9318181818181818,0.6006294020680353,0.8278297869559518,0.06818181818181823,0.06818181818181823
17,C2,Knoxville,2016,0.9411764705882352,0.6534001880288308,0.8384045965403154,0.05882352941176483,0.05882352941176483
18,C2,Detroit,2016,0.9206349206349206,0.6073074391046742,0.7527823346067946,0.07936507936507942,0.07936507936507942
19,C2,Toledo,2016,0.9365079365079364,0.6184590028842192,0.8627840947299044,0.0634920634920636,0.0634920634920636
20,C2,Atlanta,2016,0.9375,0.7524333890472914,0.8198099021608128,0.0625,0.0625
21,C2,Cincinnati,2016,0.942528735632184,0.7059163297301758,0.8158195392611041,0.05747126436781602,0.05747126436781602
22,C2,Indianapolis,2016,0.9132947976878611,0.6078706697459586,0.8066942374319915,0.08670520231213885,0.08670520231213885
23,C2,Milwaukee,2016,0.9572649572649572,0.6667911004927579,0.8418671238750328,0.042735042735042805,0.042735042735042805
24,C2,Chicago,2016,0.9805555555555556,0.6049575571799104,0.717434054759968,0.019444444444444375,0.019444444444444375
25,C2,Memphis,2016,0.9495798319327732,0.5413184123098442,0.8154359516710632,0.05042016806722682,0.05042016806722682
26,C1,St. Louis,2016,0.7796610169491526,0.9109869646182496,0.8307608204836011,0.22033898305084743,0.22033898305084743
27,C1,Kansas City,2016,0.8691588785046729,0.6989256703642239,0.8644518543148324,0.13084112149532712,0.13084112149532712
28,C1,Tulsa,2016,0.8472222222222222,0.7407927590511858,0.8682058732261196,0.1527777777777778,0.1527777777777778
29,C2,Dallas,2016,0.9368932038834952,0.6104409379147621,0.792111642559501,0.06310679611650483,0.06310679611650483
30,C2,Wichita,2016,0.9577464788732394,0.6640053504995193,0.8400466665633118,0.04225352112676062,0.04225352112676062
31,C2,Arlington,2016,0.9230769230769232,0.7990676740073943,0.8310897586018589,0.07692307692307676,0.07692307692307676
32,C2,Fort Worth,2016,0.9545454545454546,0.609632079371641,0.8229556324299889,0.045454545454545414,0.045454545454545414
33,C2,El Paso,2016,0.9611650485436892,0.4850075523053224,0.8556960378616393,0.03883495145631077,0.03883495145631077
34,C2,Colorado Springs,2016,0.9344262295081968,0.7045823448620302,0.8847342245907971,0.06557377049180324,0.06557377049180324
35,C2,Denver,2016,0.9724770642201837,0.6126274941660766,0.8309028345141449,0.02752293577981635,0.02752293577981635
36,C2,Mesa,2016,0.9684210526315791,0.6797052544590594,0.8353770869813879,0.03157894736842093,0.03157894736842093
37,C2,Tucson,2016,0.9404761904761904,0.6041513141734218,0.8613733693219822,0.059523809523809645,0.059523809523809645
38,C2,San Diego,2016,0.9814814814814816,0.5090684940635518,0.7976135482981722,0.01851851851851838,0.01851851851851838
39,C1,Riverside,2016,0.8958333333333334,0.8482559431237503,0.8631414194093413,0.10416666666666663,0.10416666666666663
40,C2,Phoenix,2016,0.9539170506912442,0.4910452937504336,0.8633063808344908,0.04608294930875578,0.04608294930875578
41,C2,Chandler,2016,0.9487179487179488,0.7375038331800061,0.8065688702589984,0.05128205128205121,0.05128205128205121
42,C2,Fresno,2016,0.9438202247191012,0.7418615314076112,0.8906954581641465,0.05617977528089879,0.05617977528089879
43,C2,Los Angeles,2016,0.9863247863247864,0.6279904143349265,0.8786025107003103,0.013675213675213627,0.013675213675213627
44,C1,Long Beach,2016,0.9166666666666666,0.8599242833964307,0.8467563429411682,0.08333333333333337,0.08333333333333337
45,C2,San Francisco,2016,0.9655172413793104,0.6769325059373325,0.7935706021921446,0.03448275862068961,0.03448275862068961
46,C1,Oakland,2016,0.8688524590163934,0.9381026438569208,0.8669179029261471,0.1311475409836066,0.1311475409836066
47,C2,Sacramento,2016,0.967741935483871,0.7094200411805077,0.8361961929166531,0.032258064516129004,0.032258064516129004
48,C1,San Jose,2016,0.908256880733945,0.8224664224664228,0.8502143719577875,0.09174311926605505,0.09174311926605505
49,C2,Seattle,2016,0.9615384615384616,0.6163992869875224,0.8076765247568385,0.038461538461538436,0.038461538461538436
0,C2,San Antonio,2017,0.9545454545454546,0.5452164997239529,0.8588648939239109,0.045454545454545414,0.045454545454545414
1,C2,Austin,2017,0.9593495934959351,0.6963250080144552,0.8375084719144613,0.04065040650406493,0.04065040650406493
2,C2,Houston,2017,0.9869281045751634,0.594392951721328,0.8286219496306574,0.013071895424836555,0.013071895424836555
3,C1,Corpus Christi,2017,0.9090909090909092,0.7921469740634005,0.8770502198155309,0.09090909090909083,0.09090909090909083
4,C2,New Orleans,2017,0.9026548672566372,0.6337782936738248,0.7475781825148705,0.09734513274336276,0.09734513274336276
5,C2,Jacksonville,2017,0.9561403508771931,0.6518802587144411,0.8500311037643193,0.04385964912280693,0.04385964912280693
6,C2,Tampa,2017,0.9655172413793104,0.6555240793201131,0.8055887310428546,0.03448275862068961,0.03448275862068961
7,C1,Miami,2017,0.9135802469135802,0.7885186127363688,0.8558317884619255,0.0864197530864198,0.0864197530864198
8,C2,Boston,2017,0.94,0.6174593967517401,0.7843830498912651,0.06000000000000005,0.06000000000000005
9,C2,Newark,2017,0.9148936170212766,0.6949786324786323,0.7908185209825794,0.08510638297872342,0.08510638297872342
10,C2,New York,2017,0.9776661083193746,0.5413307080683859,0.8441182852356497,0.022333891680625384,0.022333891680625384
11,C2,Philadelphia,2017,0.9732142857142856,0.5635095097008507,0.8325305972198489,0.026785714285714413,0.026785714285714413
12,C1,Virginia Beach,2017,0.7931034482758621,0.7627816291161179,0.8362404181931304,0.2068965517241379,0.2068965517241379
13,C1,Greensboro,2017,0.9285714285714286,0.7894811454493904,0.8823379816142847,0.0714285714285714,0.0714285714285714
14,C1,Raleigh,2017,0.9310344827586208,0.7410727852909892,0.8552187740418711,0.06896551724137923,0.06896551724137923
15,C1,Charlotte,2017,0.9035087719298246,0.6522375915378357,0.8445442598033029,0.0964912280701754,0.0964912280701754
16,C2,Columbus,2017,0.9494382022471909,0.5782637982570622,0.8292435971948184,0.05056179775280911,0.05056179775280911
17,C2,Knoxville,2017,0.9433962264150944,0.7264278472456913,0.8380478746838801,0.05660377358490565,0.05660377358490565
18,C2,Detroit,2017,0.9114583333333334,0.6651778329197684,0.7660919486286828,0.08854166666666663,0.08854166666666663
19,C1,Toledo,2017,0.9482758620689656,0.7039473684210525,0.8670673218311638,0.051724137931034364,0.051724137931034364
20,C2,Atlanta,2017,0.9405940594059404,0.6716041601008509,0.8175598292145061,0.05940594059405957,0.05940594059405957
21,C2,Cincinnati,2017,0.9523809523809524,0.6917529272017648,0.8214005906725295,0.04761904761904756,0.04761904761904756
22,C2,Indianapolis,2017,0.8947368421052632,0.6734232274902131,0.8062553047774063,0.10526315789473684,0.10526315789473684
23,C2,Milwaukee,2017,0.956896551724138,0.6483924480606682,0.8454048593901744,0.04310344827586199,0.04310344827586199
24,C2,Chicago,2017,0.9791376912378305,0.6280962836882351,0.7169462525767565,0.020862308762169546,0.020862308762169546
25,C2,Memphis,2017,0.9586776859504132,0.5752036558712498,0.8156527283873384,0.04132231404958675,0.04132231404958675
26,C1,St. Louis,2017,0.8548387096774194,0.8174642328564381,0.8347753188073073,0.14516129032258063,0.14516129032258063
27,C1,Kansas City,2017,0.8761904761904762,0.6732747179827471,0.8624600453686806,0.12380952380952381,0.12380952380952381
28,C1,Tulsa,2017,0.8589743589743589,0.7117489661882753,0.8699438761756378,0.14102564102564108,0.14102564102564108
29,C2,Dallas,2017,0.9489795918367347,0.5725971996691076,0.7954609711953904,0.05102040816326525,0.05102040816326525
30,C1,Wichita,2017,0.8028169014084507,0.7314542783694457,0.8434911693107339,0.19718309859154926,0.19718309859154926
31,C2,Arlington,2017,0.9285714285714286,0.7201379454488452,0.8303157797196092,0.0714285714285714,0.0714285714285714
32,C2,Fort Worth,2017,0.9292035398230089,0.6663857756804582,0.8228812825900295,0.07079646017699115,0.07079646017699115
33,C2,El Paso,2017,0.961904761904762,0.5568037303942349,0.8575343742384711,0.03809523809523796,0.03809523809523796
34,C1,Colorado Springs,2017,0.935483870967742,0.6885967324935365,0.8865882571796809,0.06451612903225801,0.06451612903225801
35,C2,Denver,2017,0.972972972972973,0.6109594480567826,0.8357405491148872,0.027027027027026973,0.027027027027026973
36,C2,Mesa,2017,0.9777777777777776,0.6853788000643397,0.8413233264752813,0.022222222222222365,0.022222222222222365
37,C2,Tucson,2017,0.9480519480519479,0.5908261446582614,0.8643471383376929,0.051948051948052076,0.051948051948052076
38,C2,San Diego,2017,0.9485981308411215,0.6305845951900991,0.7992368503080436,0.051401869158878455,0.051401869158878455
39,C1,Riverside,2017,0.9111111111111112,0.8653800894328078,0.8640982088632191,0.0888888888888888,0.0888888888888888
40,C2,Phoenix,2017,0.956896551724138,0.4714193177790542,0.8638318742525491,0.04310344827586199,0.04310344827586199
41,C2,Chandler,2017,0.9473684210526316,0.7707865168539325,0.8098722583053273,0.05263157894736836,0.05263157894736836
42,C1,Fresno,2017,0.9431818181818182,0.6960881934566145,0.8929762227635539,0.05681818181818177,0.05681818181818177
43,C2,Los Angeles,2017,0.9861830742659758,0.6231024930747924,0.8794130704373473,0.013816925734024155,0.013816925734024155
44,C1,Long Beach,2017,0.9032258064516128,0.884108631352514,0.8463897205732445,0.09677419354838723,0.09677419354838723
45,C2,San Francisco,2017,0.9657534246575342,0.6909940364193004,0.7934983963513658,0.03424657534246578,0.03424657534246578
46,C1,Oakland,2017,0.8939393939393939,0.8167415464648853,0.8673839718081318,0.10606060606060608,0.10606060606060608
47,C2,Sacramento,2017,0.9655172413793104,0.6188440810258315,0.8375367080257815,0.03448275862068961,0.03448275862068961
48,C1,San Jose,2017,0.9133858267716536,0.8055316782120645,0.8523142475793267,0.08661417322834641,0.08661417322834641
49,C2,Seattle,2017,0.95,0.6596535699197297,0.8026390067295789,0.050000000000000044,0.050000000000000044
0,C2,San Antonio,2018,0.9543147208121828,0.5566899083750664,0.8622693734838445,0.045685279187817174,0.045685279187817174
1,C2,Austin,2018,0.9583333333333334,0.6784440746463803,0.8379735555263864,0.04166666666666663,0.04166666666666663
2,C2,Houston,2018,0.9099307159353348,0.6692030490173749,0.8338336677502818,0.09006928406466519,0.09006928406466519
3,C1,Corpus Christi,2018,0.9142857142857144,0.8222321561615258,0.8805263543481475,0.08571428571428563,0.08571428571428563
4,C2,New Orleans,2018,0.8925619834710744,0.6520518776616335,0.7430103631994541,0.1074380165289256,0.1074380165289256
5,C2,Jacksonville,2018,0.9369369369369368,0.6756124200343266,0.8479218563263803,0.0630630630630632,0.0630630630630632
6,C2,Tampa,2018,0.9661016949152542,0.6886249100071994,0.8069435233704759,0.03389830508474578,0.03389830508474578
7,C1,Miami,2018,0.902439024390244,0.808372688705675,0.857094627065292,0.09756097560975596,0.09756097560975596
8,C2,Boston,2018,0.95,0.5749596236219365,0.7788789083058245,0.050000000000000044,0.050000000000000044
9,C2,Newark,2018,0.9183673469387756,0.8196896736222578,0.7871360235837903,0.08163265306122436,0.08163265306122436
10,C2,New York,2018,0.98114254021076,0.5327656681088536,0.8486105606413289,0.018857459789240028,0.018857459789240028
11,C2,Philadelphia,2018,0.972093023255814,0.5392056679610328,0.8339838193645686,0.027906976744185963,0.027906976744185963
